ngapak,indonesia,contributor,source_type,source_detail,notes
banggen,bedug terakhir sebelum shalat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bangun,bangun,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
banyu,air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
baor,meraung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
barat,angin badai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bareng,bersama,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
barengé,bersamanya,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
barep,anak sulung,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
barokah,berkah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
basa,bahasa,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
basanu,jangan-jangan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
batir,teman,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
batur,pembantu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bawang,bawang putih,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bawon,bagian,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bawor,tokoh punakawan banyumasan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bawur,mencampur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bebarengan,bersama-sama,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bebed,membungkus,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bebeh,malas,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bebrayan,masyarakat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
becer,belanja,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
becik,baik,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bedhah,pecah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bedhol,tercabut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bedhug,bedug,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
bedol,membawa pergi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
